dado1,dado2
-10.00000E-03,+18.73766882E+00
-9.99000E-03,+18.73766882E+00
-9.98000E-03,+18.72962862E+00
-9.97000E-03,+18.72962862E+00
-9.96000E-03,+18.72962862E+00
-9.95000E-03,+18.72962862E+00
-9.94000E-03,+18.72962862E+00
-9.93000E-03,+18.72158842E+00
-9.92000E-03,+18.72158842E+00
-9.91000E-03,+18.71354822E+00
-9.90000E-03,+18.72158842E+00
-9.89000E-03,+18.71354822E+00
-9.88000E-03,+18.71354822E+00
-9.87000E-03,+18.71354822E+00
-9.86000E-03,+18.70550802E+00
-9.85000E-03,+18.71354822E+00
-9.84000E-03,+18.71354822E+00
-9.83000E-03,+18.70550802E+00
-9.82000E-03,+18.70550802E+00
-9.81000E-03,+18.69746782E+00
-9.80000E-03,+18.69746782E+00
-9.79000E-03,+18.69746782E+00
-9.78000E-03,+18.69746782E+00
-9.77000E-03,+18.68942761E+00
-9.76000E-03,+18.70550802E+00
-9.75000E-03,+18.68942761E+00
-9.74000E-03,+18.68138741E+00
-9.73000E-03,+18.68138741E+00
-9.72000E-03,+18.68942761E+00
-9.71000E-03,+18.68138741E+00
-9.70000E-03,+18.68138741E+00
-9.69000E-03,+18.68138741E+00
-9.68000E-03,+18.67334721E+00
-9.67000E-03,+18.67334721E+00
-9.66000E-03,+18.66530701E+00
-9.65000E-03,+18.67334721E+00
-9.64000E-03,+18.66530701E+00
-9.63000E-03,+18.67334721E+00
-9.62000E-03,+18.67334721E+00
-9.61000E-03,+18.64922661E+00
-9.60000E-03,+18.66530701E+00
-9.59000E-03,+18.65726681E+00
-9.58000E-03,+18.66530701E+00
-9.57000E-03,+18.66530701E+00
-9.56000E-03,+18.65726681E+00
-9.55000E-03,+18.65726681E+00
-9.54000E-03,+18.64118641E+00
-9.53000E-03,+18.65726681E+00
-9.52000E-03,+18.64118641E+00
-9.51000E-03,+18.64118641E+00
-9.50000E-03,+18.64922661E+00
-9.49000E-03,+18.64922661E+00
-9.48000E-03,+18.63314621E+00
-9.47000E-03,+18.63314621E+00
-9.46000E-03,+18.64118641E+00
-9.45000E-03,+18.63314621E+00
-9.44000E-03,+18.64922661E+00
-9.43000E-03,+18.62510601E+00
-9.42000E-03,+18.62510601E+00
-9.41000E-03,+18.61706581E+00
-9.40000E-03,+18.63314621E+00
-9.39000E-03,+18.63314621E+00
-9.38000E-03,+18.61706581E+00
-9.37000E-03,+18.60902561E+00
-9.36000E-03,+18.61706581E+00
-9.35000E-03,+18.61706581E+00
-9.34000E-03,+18.60902561E+00
-9.33000E-03,+18.61706581E+00
-9.32000E-03,+18.60902561E+00
-9.31000E-03,+18.60902561E+00
-9.30000E-03,+18.60098540E+00
-9.29000E-03,+18.61706581E+00
-9.28000E-03,+18.60098540E+00
-9.27000E-03,+18.60902561E+00
-9.26000E-03,+18.60902561E+00
-9.25000E-03,+18.60098540E+00
-9.24000E-03,+18.59294520E+00
-9.23000E-03,+18.59294520E+00
-9.22000E-03,+18.58490500E+00
-9.21000E-03,+18.58490500E+00
-9.20000E-03,+18.58490500E+00
-9.19000E-03,+18.57686480E+00
-9.18000E-03,+18.59294520E+00
-9.17000E-03,+18.57686480E+00
-9.16000E-03,+18.59294520E+00
-9.15000E-03,+18.57686480E+00
-9.14000E-03,+18.57686480E+00
-9.13000E-03,+18.57686480E+00
-9.12000E-03,+18.58490500E+00
-9.11000E-03,+18.56882460E+00
-9.10000E-03,+18.57686480E+00
-9.09000E-03,+18.56078440E+00
-9.08000E-03,+18.56078440E+00
-9.07000E-03,+18.55274420E+00
-9.06000E-03,+18.56078440E+00
-9.05000E-03,+18.56078440E+00
-9.04000E-03,+18.56078440E+00
-9.03000E-03,+18.56882460E+00
-9.02000E-03,+18.55274420E+00
-9.01000E-03,+18.56078440E+00
-9.00000E-03,+18.55274420E+00
-8.99000E-03,+18.55274420E+00
-8.98000E-03,+18.54470400E+00
-8.97000E-03,+18.54470400E+00
-8.96000E-03,+18.54470400E+00
-8.95000E-03,+18.54470400E+00
-8.94000E-03,+18.53666380E+00
-8.93000E-03,+18.54470400E+00
-8.92000E-03,+18.53666380E+00
-8.91000E-03,+18.54470400E+00
-8.90000E-03,+18.54470400E+00
-8.89000E-03,+18.54470400E+00
-8.88000E-03,+18.53666380E+00
-8.87000E-03,+18.55274420E+00
-8.86000E-03,+18.55274420E+00
-8.85000E-03,+18.54470400E+00
-8.84000E-03,+18.54470400E+00
-8.83000E-03,+18.55274420E+00
-8.82000E-03,+18.56078440E+00
-8.81000E-03,+18.56078440E+00
-8.80000E-03,+18.56078440E+00
-8.79000E-03,+18.56882460E+00
-8.78000E-03,+18.58490500E+00
-8.77000E-03,+18.58490500E+00
-8.76000E-03,+18.59294520E+00
-8.75000E-03,+18.60098540E+00
-8.74000E-03,+18.60098540E+00
-8.73000E-03,+18.61706581E+00
-8.72000E-03,+18.62510601E+00
-8.71000E-03,+18.63314621E+00
-8.70000E-03,+18.64118641E+00
-8.69000E-03,+18.64922661E+00
-8.68000E-03,+18.67334721E+00
-8.67000E-03,+18.68138741E+00
-8.66000E-03,+18.68942761E+00
-8.65000E-03,+18.70550802E+00
-8.64000E-03,+18.72158842E+00
-8.63000E-03,+18.72962862E+00
-8.62000E-03,+18.74570902E+00
-8.61000E-03,+18.76178942E+00
-8.60000E-03,+18.76982962E+00
-8.59000E-03,+18.79395023E+00
-8.58000E-03,+18.80199043E+00
-8.57000E-03,+18.81807083E+00
-8.56000E-03,+18.83415123E+00
