segundo,dado1,dado2
-23.50000E-03,-2.33045245E+00,-15.15760064E+00
-23.47650E-03,-2.20582934E+00,-15.33046496E+00
-23.45300E-03,-2.33045245E+00,-15.15760064E+00
-23.42950E-03,-2.33045245E+00,-15.33046496E+00
-23.40600E-03,-2.33045245E+00,-15.15760064E+00
-23.38250E-03,-2.33045245E+00,-15.24403280E+00
-23.35900E-03,-2.33045245E+00,-15.33046496E+00
-23.33550E-03,-2.45507556E+00,-15.33046496E+00
-23.31200E-03,-2.45507556E+00,-15.15760064E+00
-23.28850E-03,-2.45507556E+00,-15.33046496E+00
-23.26500E-03,-2.45507556E+00,-15.15760064E+00
-23.24150E-03,-2.45507556E+00,-15.33046496E+00
-23.21800E-03,-2.45507556E+00,-15.15760064E+00
-23.19450E-03,-2.57969867E+00,-15.33046496E+00
-23.17100E-03,-2.57969867E+00,-15.33046496E+00
-23.14750E-03,-2.57969867E+00,-15.24403280E+00
-23.12400E-03,-2.57969867E+00,-15.33046496E+00
-23.10050E-03,-2.57969867E+00,-15.33046496E+00
-23.07700E-03,-2.57969867E+00,-15.33046496E+00
-23.05350E-03,-2.57969867E+00,-15.33046496E+00
-23.03000E-03,-2.57969867E+00,-15.15760064E+00
-23.00650E-03,-2.70432179E+00,-15.33046496E+00
-22.98300E-03,-2.70432179E+00,-15.33046496E+00
-22.95950E-03,-2.70432179E+00,-15.24403280E+00
-22.93600E-03,-2.82894490E+00,-15.33046496E+00
-22.91250E-03,-2.64201023E+00,-15.24403280E+00
-22.88900E-03,-2.70432179E+00,-15.33046496E+00
-22.86550E-03,-2.70432179E+00,-15.33046496E+00
-22.84200E-03,-2.70432179E+00,-15.33046496E+00
-22.81850E-03,-2.70432179E+00,-15.33046496E+00
-22.79500E-03,-2.70432179E+00,-15.15760064E+00
-22.77150E-03,-2.70432179E+00,-15.33046496E+00
-22.74800E-03,-2.70432179E+00,-15.33046496E+00
-22.72450E-03,-2.82894490E+00,-15.33046496E+00
-22.70100E-03,-2.70432179E+00,-15.33046496E+00
-22.67750E-03,-2.76663334E+00,-15.24403280E+00
-22.65400E-03,-2.82894490E+00,-15.33046496E+00
-22.63050E-03,-2.82894490E+00,-15.33046496E+00
-22.60700E-03,-2.82894490E+00,-15.33046496E+00
-22.58350E-03,-2.82894490E+00,-15.33046496E+00
-22.56000E-03,-2.82894490E+00,-15.33046496E+00
-22.53650E-03,-2.82894490E+00,-15.33046496E+00
-22.51300E-03,-2.82894490E+00,-15.33046496E+00
-22.48950E-03,-2.70432179E+00,-15.33046496E+00
-22.46600E-03,-2.82894490E+00,-15.33046496E+00
-22.44250E-03,-2.82894490E+00,-15.33046496E+00
-22.41900E-03,-2.70432179E+00,-15.33046496E+00
-22.39550E-03,-2.76663334E+00,-15.24403280E+00
-22.37200E-03,-2.70432179E+00,-15.33046496E+00
-22.34850E-03,-2.76663334E+00,-15.33046496E+00
-22.32500E-03,-2.82894490E+00,-15.33046496E+00
-22.30150E-03,-2.70432179E+00,-15.33046496E+00
-22.27800E-03,-2.57969867E+00,-15.33046496E+00
-22.25450E-03,-2.70432179E+00,-15.33046496E+00
-22.23100E-03,-2.70432179E+00,-15.33046496E+00
-22.20750E-03,-2.70432179E+00,-15.33046496E+00
-22.18400E-03,-2.70432179E+00,-15.15760064E+00
-22.16050E-03,-2.70432179E+00,-15.33046496E+00
-22.13700E-03,-2.57969867E+00,-15.33046496E+00
-22.11350E-03,-2.70432179E+00,-15.33046496E+00
-22.09000E-03,-2.70432179E+00,-15.33046496E+00
-22.06650E-03,-2.57969867E+00,-15.33046496E+00
-22.04300E-03,-2.57969867E+00,-15.33046496E+00
-22.01950E-03,-2.57969867E+00,-15.33046496E+00
-21.99600E-03,-2.57969867E+00,-15.33046496E+00
-21.97250E-03,-2.57969867E+00,-15.33046496E+00
-21.94900E-03,-2.57969867E+00,-15.33046496E+00
-21.92550E-03,-2.57969867E+00,-15.33046496E+00
-21.90200E-03,-2.45507556E+00,-15.33046496E+00
-21.87850E-03,-2.51738712E+00,-15.33046496E+00
-21.85500E-03,-2.57969867E+00,-15.33046496E+00
-21.83150E-03,-2.45507556E+00,-15.33046496E+00
-21.80800E-03,-2.45507556E+00,-15.33046496E+00
-21.78450E-03,-2.45507556E+00,-15.24403280E+00
-21.76100E-03,-2.33045245E+00,-15.33046496E+00
-21.73750E-03,-2.39276401E+00,-15.33046496E+00
-21.71400E-03,-2.33045245E+00,-15.33046496E+00
-21.69050E-03,-2.33045245E+00,-15.33046496E+00
-21.66700E-03,-2.33045245E+00,-15.33046496E+00
-21.64350E-03,-2.39276401E+00,-15.24403280E+00
-21.62000E-03,-2.33045245E+00,-15.33046496E+00
-21.59650E-03,-2.33045245E+00,-15.24403280E+00
-21.57300E-03,-2.33045245E+00,-15.33046496E+00
-21.54950E-03,-2.20582934E+00,-15.33046496E+00
-21.52600E-03,-2.20582934E+00,-15.33046496E+00
-21.50250E-03,-2.14351778E+00,-15.24403280E+00
-21.47900E-03,-2.20582934E+00,-15.33046496E+00
-21.45550E-03,-2.08120622E+00,-15.15760064E+00
-21.43200E-03,-2.08120622E+00,-15.33046496E+00
-21.40850E-03,-2.08120622E+00,-15.33046496E+00
-21.38500E-03,-1.95658311E+00,-15.33046496E+00
-21.36150E-03,-1.95658311E+00,-15.33046496E+00
-21.33800E-03,-1.95658311E+00,-15.33046496E+00
-21.31450E-03,-1.89427156E+00,-15.24403280E+00
-21.29100E-03,-1.95658311E+00,-15.15760064E+00
-21.26750E-03,-1.83196000E+00,-15.33046496E+00
-21.24400E-03,-1.83196000E+00,-15.33046496E+00
-21.22050E-03,-1.83196000E+00,-15.15760064E+00
-21.19700E-03,-1.83196000E+00,-15.15760064E+00
-21.17350E-03,-1.83196000E+00,-15.33046496E+00
-21.15000E-03,-1.70733689E+00,-15.33046496E+00
-21.12650E-03,-1.70733689E+00,-15.33046496E+00
-21.10300E-03,-1.70733689E+00,-15.33046496E+00
-21.07950E-03,-1.64502533E+00,-15.33046496E+00
-21.05600E-03,-1.70733689E+00,-15.33046496E+00
-21.03250E-03,-1.58271378E+00,-15.24403280E+00
-21.00900E-03,-1.45809066E+00,-15.33046496E+00
-20.98550E-03,-1.58271378E+00,-15.33046496E+00
-20.96200E-03,-1.45809066E+00,-15.33046496E+00
-20.93850E-03,-1.45809066E+00,-15.33046496E+00
-20.91500E-03,-1.45809066E+00,-15.15760064E+00
-20.89150E-03,-1.33346755E+00,-15.24403280E+00
-20.86800E-03,-1.33346755E+00,-15.15760064E+00
-20.84450E-03,-1.27115599E+00,-15.33046496E+00
-20.82100E-03,-1.33346755E+00,-15.33046496E+00
-20.79750E-03,-1.20884444E+00,-15.24403280E+00
-20.77400E-03,-1.20884444E+00,-15.15760064E+00
-20.75050E-03,-1.20884444E+00,-15.33046496E+00
-20.72700E-03,-1.08422133E+00,-15.33046496E+00
-20.70350E-03,-1.08422133E+00,-15.24403280E+00
-20.68000E-03,-1.08422133E+00,-15.33046496E+00
-20.65650E-03,-959.59821E-03,-15.33046496E+00
-20.63300E-03,-959.59821E-03,-15.33046496E+00
-20.60950E-03,-959.59821E-03,-15.33046496E+00
-20.58600E-03,-834.97510E-03,-15.33046496E+00
-20.56250E-03,-834.97510E-03,-15.33046496E+00
-20.53900E-03,-710.35199E-03,-15.33046496E+00
-20.51550E-03,-772.66354E-03,-15.33046496E+00
-20.49200E-03,-710.35199E-03,-15.33046496E+00
-20.46850E-03,-772.66354E-03,-15.15760064E+00
