segundo,dado1,dado2
-250.0000E-06,+5.1511305943E+00,-6.4849239E-03
-249.7500E-06,+5.0707285851E+00,+4.7713574E-03
-249.5000E-06,+5.0707285851E+00,-11.3090444E-03
-249.2500E-06,+4.9903265759E+00,-4.8768837E-03
-249.0000E-06,+4.9099245667E+00,-12.9170846E-03
-248.7500E-06,+4.8295225576E+00,-11.3090444E-03
-248.5000E-06,+4.8295225576E+00,+1.5552770E-03
-248.2500E-06,+4.8295225576E+00,-4.8768837E-03
-248.0000E-06,+4.7491205484E+00,+1.5552770E-03
-247.7500E-06,+4.6687185392E+00,+4.7713574E-03
-247.5000E-06,+4.5883165300E+00,+3.1633172E-03
-247.2500E-06,+4.5079145208E+00,-3.2688435E-03
-247.0000E-06,+4.5079145208E+00,+4.7713574E-03
-246.7500E-06,+4.4275125116E+00,+3.1633172E-03
-246.5000E-06,+4.3471105024E+00,+4.7713574E-03
-246.2500E-06,+4.3471105024E+00,+6.3793976E-03
-246.0000E-06,+4.2667084932E+00,+4.7713574E-03
-245.7500E-06,+4.2667084932E+00,+3.1633172E-03
-245.5000E-06,+4.1863064840E+00,-9.7010043E-03
-245.2500E-06,+4.1059044749E+00,-1.6608033E-03
-245.0000E-06,+4.1059044749E+00,+6.3793976E-03
-244.7500E-06,+4.0255024657E+00,-52.7631E-06
-244.5000E-06,+3.9451004565E+00,-8.0929641E-03
-244.2500E-06,+3.9451004565E+00,-6.4849239E-03
-244.0000E-06,+3.8646984473E+00,-6.4849239E-03
-243.7500E-06,+3.7842964381E+00,+4.7713574E-03
-243.5000E-06,+3.7842964381E+00,+7.9874378E-03
-243.2500E-06,+3.7038944289E+00,+7.9874378E-03
-243.0000E-06,+3.6234924197E+00,+3.1633172E-03
-242.7500E-06,+3.6234924197E+00,-6.4849239E-03
-242.5000E-06,+3.5430904105E+00,-8.0929641E-03
-242.2500E-06,+3.4626884013E+00,+3.1633172E-03
-242.0000E-06,+3.4626884013E+00,+6.3793976E-03
-241.7500E-06,+3.3822863922E+00,+3.1633172E-03
-241.5000E-06,+3.3018843830E+00,-3.2688435E-03
-241.2500E-06,+3.3018843830E+00,+9.5954780E-03
-241.0000E-06,+3.2214823738E+00,+9.5954780E-03
